project	totalCases	success_passed	success_fail	exception_passed	exception_fail
harberger-ads-contracts	17	6	10	1	0
harberger-ads-contracts	17	6	10	1	0
king	29	11	8	10	0
king	29	12	7	10	0
king	29	11	8	10	0
king	29	12	7	10	0
king	29	11	8	10	0
king	29	6	13	10	0
king	29	11	8	10	0
king	29	11	8	10	0
king	29	12	7	10	0
king	29	8	11	10	0
king	29	11	8	10	0
king	29	11	8	10	0
king	29	13	6	10	0
king	29	11	8	10	0
king	29	11	8	10	0
king	29	12	7	10	0
king	29	10	9	10	0
king	29	7	12	10	0
king	29	11	8	10	0
king	29	11	8	10	0
king	29	10	9	10	0
king	29	11	8	10	0
king	29	11	8	10	0
king	29	11	8	10	0
king	29	11	8	10	0
king	29	11	8	10	0
king	29	12	7	10	0
king	29	10	9	10	0
king	29	10	9	10	0
king	29	11	8	10	0
left-gallery-token	63	24	20	17	2
left-gallery-token	63	24	20	17	2
left-gallery-token	63	24	20	17	2
left-gallery-token	63	24	20	17	2
left-gallery-token	63	24	20	17	2
left-gallery-token	63	24	20	17	2
left-gallery-token	63	23	21	17	2
left-gallery-token	63	24	20	17	2
left-gallery-token	63	24	20	17	2
left-gallery-token	63	24	20	17	2
left-gallery-token	63	24	20	17	2
left-gallery-token	63	24	20	17	2
left-gallery-token	63	24	20	17	2
left-gallery-token	63	24	20	17	2
left-gallery-token	63	24	20	17	2
left-gallery-token	63	24	20	17	2
left-gallery-token	63	24	20	17	2
left-gallery-token	63	24	20	17	2
left-gallery-token	63	24	20	17	2
left-gallery-token	63	24	20	17	2
left-gallery-token	63	24	20	17	2
left-gallery-token	63	24	20	17	2
left-gallery-token	63	24	20	17	2
left-gallery-token	63	24	20	17	2
left-gallery-token	63	24	20	17	2
left-gallery-token	63	24	20	17	2
left-gallery-token	63	24	20	17	2
left-gallery-token	63	24	20	17	2
left-gallery-token	63	24	20	17	2
left-gallery-token	63	24	20	17	2
liquid	47	15	16	8	8
liquid	47	13	18	9	7
liquid	47	14	17	8	8
liquid	47	12	19	8	8
liquid	47	13	18	8	8
liquid	47	14	17	8	8
liquid	47	15	16	8	8
liquid	47	13	18	9	7
liquid	47	13	18	8	8
liquid	47	13	18	8	8
liquid	47	14	17	9	7
liquid	47	15	16	8	8
liquid	47	13	18	8	8
liquid	47	14	17	9	7
liquid	47	14	17	9	7
liquid	47	16	15	8	8
liquid	47	14	17	8	8
liquid	47	13	18	8	8
liquid	47	13	18	9	7
liquid	47	13	18	9	7
liquid	47	14	17	9	7
liquid	47	13	18	9	7
liquid	47	14	17	9	7
liquid	47	14	17	9	7
liquid	47	14	17	8	8
liquid	47	14	17	8	8
liquid	47	15	16	8	8
liquid	47	13	18	9	7
liquid	47	14	17	8	8
liquid	47	13	18	8	8
